key_name,en,comment
ACCELERATOR,Accelerator,
ACCELERATOR_ADMIN,Accelerator Admin,
ACCELERATOR_CONSOLE,Accelerator Console,
ACCELERATOR_ORGS_EMPTY_WARNING,There are no Accelerator Organizations with Projects that are not assigned to a Participant. You can still create a Participant without a Project assignment.,
ACCELERATOR_ORGS_EXHAUSTED_WARNING,There are no Accelerator Organizations remaining with Projects that are not assigned to a Participant.,
ACCELERATOR_ORGS_TOOLTIP,Accelerator Organizations with Projects that are not assigned to a Participant,
ACCELERATOR_WELCOME_ALT,Two people maintaining seedlings in a nursery,
ACCELERATOR_WELCOME_CONTENT,Terraware will serve as your source of information for the Terraformation accelerator program. Review your To Do list below to see the tasks you need to review and complete before their due dates. See all of your tasks for the current phase by clicking Deliverables in the left menu.,
ACCELERATOR_WELCOME_HEADER,Welcome to the Accelerator Program!,
ACCEPT,Accept,
ACCEPTED,Accepted,
ACCESSION,Accession,
ACCESSION_BY_STATUS,Accession by Status,
ACCESSION_DETAIL,Accession Detail,
ACCESSION_DETAILS,Accession Details,
ACCESSION_HISTORY,Accession History,
ACCESSION_ID,Accession ID,
ACCESSION_NUMBER_CHECKED_IN,Accession {0} was successfully checked in!,
ACCESSIONS,Accessions,
ACCESSIONS_CARD_DESCRIPTION,Collect seeds and then record and view your accessions. Seed accessions can be viewed and analyzed by seed bank.,
ACCESSIONS_DATABASE_DESCRIPTION,Manage your accessions in Terraware.,
ACCESSIONS_IMPORT_COMPLETE,Accessions data import complete!,
ACCESSIONS_ONBOARDING_SEEDBANKS_MSG,Define storage locations assigned to seed accessions,
ACCESSIONS_ONBOARDING_SPECIES_MSG,Define a list of species used in your seed inventory,
ACCESSIONS_TO_BE_CHECKED_IN,There are {0} accessions to check in.,
ACCOUNT,Account,User access to website or application typically by entering a username and password (noun)
ACTIVE_ACCESSIONS,Active Accessions,
ADD,Add,
ADD_A_NURSERY,Add a Nursery,
ADD_A_PLANTING_SITE,Add a Planting Site,
ADD_A_PLANTING_SITE_SUBTITLE,Where do your plants take root? Set up your planting site so you can keep track of your plants’ progress.,
ADD_A_PROJECT,Add a Project,
ADD_A_SEED_BANK,Add a Seed Bank,
ADD_A_SPECIES,Add a Species,
ADD_A_VIABILITY_TEST,Add a Viability Test,
ADD_ADDRESS,Add Address,
ADD_AN_ACCESSION,Add an Accession,
ADD_BATCH,Add Batch,
ADD_BOUNDARY,Add Boundary,
ADD_COHORT,Add Cohort,
ADD_DOCUMENT,Add Document,
ADD_GPS_COORDINATES,Add GPS Coordinates,
ADD_INVENTORY,Add Inventory,
ADD_INVENTORY_DESCRIPTION,"Add inventory from a new source. To add inventory from an existing seed accession, go to Accessions and withdraw from an accession entry.",
ADD_INVENTORY_MANUALLY_DESCRIPTION,"Enter species, quantities, and other relevant information using our inventory form.",
ADD_MANUALLY,Add Manually,
ADD_NEW_ORGANIZATION_FOOTNOTE,You can edit this information later.,
ADD_NOTES,Add Notes,
ADD_NURSERIES,Add Nurseries,
ADD_NURSERY,Add Nursery,
ADD_NURSERY_SUBTITLE,How do you manage your seedlings? Set up your nursery so you can keep track of your seedlings’ growth.,
ADD_OBSERVATION,Add Observation,
ADD_ORGANIZATION,Add Organization,
ADD_PARTICIPANT,Add Participant,
ADD_PERSON,Add Person,
ADD_PERSON_DESC,Fill out this page to add a person to the organization.,
ADD_PERSON_GENERAL_DESC,Enter the person’s information below.,
ADD_PHOTO,Add Photo...,
ADD_PHOTOS,Add Photos,
ADD_PHOTOS_DESCRIPTION,Take a photo (or photos) of the batches that will be planted at the selected subzone. Be sure to include the entire withdrawal in the photo(s).,
ADD_PHOTOS_DESCRIPTION_OPTIONAL,Take an optional photo (or photos) of the batches.,
ADD_PLANT_SITE_DESCRIPTION,Add Plant and Site Description,
ADD_PLANTING_SITE,Add Planting Site,
ADD_PLANTING_SITE_DETAILED_SITE,"Select if the site is relatively large, with multiple strata (vegetation layers) and growing conditions. Detailed planting sites with multiple strata will have one or more zones.",
ADD_PLANTING_SITE_SIMPLE_SITE,"Select if the planting site is relatively small, with a single stratum.",
ADD_PLANTING_SITE_TITLE,Select Planting Site Type,
ADD_PROJECT,Add Project,
ADD_PROJECT_SUBTITLE,Organize your data by projects.,
ADD_PROJECTS_BY_ORGANIZATION,Add Project(s) by Organization,
ADD_PROPOSED_PROJECT_BOUNDARY,Add Proposed Project Boundary,
ADD_QUANTITY,Add Quantity,
ADD_SEED_BANK,Add Seed Bank,
ADD_SEED_BANK_SUBTITLE,How do you process and store your seeds? Set up your seed bank so you can keep track of where your seeds are stored.,
ADD_SEED_BANKS,Add Seed Banks,
ADD_SPECIES,Add Species,
ADD_SPECIES_MANUALLY_DESCRIPTION,"Enter scientific name and other optional fields manually, one species at a time.",
ADD_SPECIES_TO_PROJECT,Add Species to Project,
ADD_SUB_LOCATION,Add Sub-Location,
ADD_SUBSET_WEIGHT_AND_COUNT,Add Subset Weight And Count,
ADD_TEST,Add Test,
ADD_TO_PROJECT,Add to Project,
ADD_VIABILITY,Add Viability,
ADD_VIABILITY_TEST,Add Viability Test,
ADDING_SUBZONE_BOUNDARIES,Adding Subzone Boundaries,
ADDING_SUBZONE_BOUNDARIES_INSTRUCTIONS_DESCRIPTION,This video shows how to use the slice {0} tool to create subzone shapes (polygons) within the zones.,
ADDING_ZONE_BOUNDARIES,Adding Zone Boundaries,
ADDING_ZONE_BOUNDARIES_INSTRUCTIONS_DESCRIPTION,This video shows how to use the slice {0} tool to create polygons within the site boundaries for zones.,
ADDITIONAL_NURSERY_NOTES,Additional Nursery Notes,
ADDITIONAL_PLANTING_SITES_NOTES,Additional Planting Site Notes,
ADDITIONAL_RESOURCES,Additional Resources,
ADDITIONAL_SPECIES_DATA,Additional Species Data (Internal Use Only),
ADMIN,Admin,
ADMIN_INFO,"An admin can do the above as well as edit the organization profile, manage users in the organization, and manage seed banks.",
AGAR,Agar,
AGAR_PETRI_DISH,Agar Petri Dish,
AGE,Age,
AGE_MONTHS,Age (month),
AGE_VALUE_1_MONTH,1 Month,
AGE_VALUE_LESS_THAN_1_MONTH,<1 Month,
AGE_VALUE_MONTHS,{0} Months,
AGE_YEARS,Age (yr),
AGROFORESTRY,Agroforestry,
ALL,All,
ALL_ACCESSIONS_CHECKED_IN,All accessions were successfully checked in!,
ALL_MODULES,All Modules,
ALL_SECTIONS,All Sections,
ALL_SENSORS_FOUND,All sensors found.,
ALL_VARIABLES,All Variables,
ALREADY_INVITED_PERSON_ERROR,It looks like you have already added or invited this person. Please enter a unique email address or go to the existing person’s profile.,
AMOUNT_EST_COUNT,Amount (Est. Count),
AMOUNT_REMAINING,Amount ({0} remaining),
ANNUAL_CARBON_T,Annual Carbon (t),
ANSWER_APPROVED,Answer Approved,
ANSWER_NOT_ACCEPETED, Answer Not Accepted,
ANSWER_REJECTED,Answer Rejected,
ANSWERS_NOT_ACCEPTED,Answers Not Accepted,
APPLICATION,Application,
APPLICATION_FOR_PROJECT,Application for {0},
APPLICATION_INSTRUCTIONS,Start by completing the Pre-screen. Then answer more in-depth questions about your project and upload any necessary documents in the Application. Each section of the Application will be available to view after your pre-screen has been approved.,
APPLICATION_INTERNAL_NAME,Application Internal Name,
APPLICATION_LIST,Application List,
APPLICATION_NOT_ACCEPTED,Your Application has NOT been accepted.,
APPLICATION_NOT_ACCEPTED_BODY,"Your Application has NOT been accepted because the following criteria wasn’t met:",
APPLICATION_PRESCREEN,Application Pre-screen,
APPLICATION_PRESCREEN_FAILURE_SUBTITLE,"Your Pre-screen is complete, but you do not qualify because the following criteria wasn’t met:",
APPLICATION_PRESCREEN_FAILURE_TITLE,Your Pre-screen does NOT qualify.,
APPLICATION_PRESCREEN_SUCCESS_SUBTITLE,"Your Pre-screen is complete, and you qualify to proceed to the next step, Application.",
APPLICATION_PRESCREEN_SUCCESS_TITLE,Success! Your Pre-screen qualifies.,
APPLICATION_RESTORABLE_LAND,Application Restorable Land (ha),
APPLICATION_STATUS,Application Status,
APPLICATION_STEP_APPLICATION_DESCRIPTION,"For the full Accelerator Program Application, you will answer general questions about your project as well as forest restoration, community impact, financial and legal questions.",
APPLICATION_STEP_APPLICATION_NAME,Application,
APPLICATION_STEP_DUEDILIGENCE_DESCRIPTION,"Once your Application is submitted, the Accelerator team reviews your answers, potentially asks for updates and proceeds to voting and scoring your Application.",
APPLICATION_STEP_DUEDILIGENCE_NAME,Due Diligence,
APPLICATION_STEP_PRESCREEN_DESCRIPTION,Draw your proposed project site map and complete the Pre-screen questions to determine if you qualify for our Accelerator Program.,
APPLICATION_STEP_PRESCREEN_NAME,Prescreen,
APPLICATION_SUBMIT_SUCCESS,Success! Your Application has been submitted.,
APPLICATION_SUBMIT_SUCCESS_BODY,"Thank you for submitting an application to the Seed to Carbon Forest Accelerator. We have received your application and it is under review.
You can review your submitted responses and the status of your application in this account.",
APPLICATION_WAITLISTED,Your Application has been Waitlisted.,
APPLICATION_WAITLISTED_BODY,Your Application has been waitlisted because the following criteria wasn’t met:,
APPLICATIONS,Applications,
APPLY,Apply,
APPLY_RESULT,Apply Result,
APPLY_RESULT_QUESTION,Do you want to apply this result to the accession?,
APPLY_TO_ACCELERATOR,Apply to Accelerator,
APPROVE,Approve,
APPROVE_DELIVERABLE,Approve Deliverable,
APPROVED,Approved,
APPROX_SYMBOL,~,
ARE_YOU_SURE,Are you sure?,
ASSIGN,Assign,
ASSIGN_NEW_OWNER,Assign New Owner,
ASSIGN_NEW_OWNER_DESC,"In order to remove the current owner, you must assign a new owner.",
ASSIGN_OWNER,Assign Owner,
ASSIGN_OWNER_ELLIPSIS,Assign Owner...,
ATTACH_IMAGES_OR_VIDEOS,Attach Image(s) or Video(s),
ATTACHMENT_DESCRIPTION,Attach up to {0} files. Each file has a maximum size of {1}MB.,
ATTACHMENT_LIMIT_REACHED,Attachment Limit Reached,
ATTACHMENT_LIMIT_REACHED_MESSAGE,You may only upload {0} attachments.,
ATTACHMENTS,Attachments,
AVAILABLE,available,
AVERAGE_WOOD_DENSITY,Average Wood Density (kb/m3),
AWAITING_CHECK_IN,Awaiting Check-In,
AWAITING_PROCESSING,Awaiting Processing,
BACK,Back,
BACK_OF_SEED_BANK,Back of Seed Bank,
BACK_TO_TERRAWARE,Back to Terraware,
BAG_ID,Bag ID,
BATCH,Batch,
BATCH_DETAILS,Batch Details,
BATCH_HISTORY_TYPE_DETAILS_EDITED,Details Edited,
BATCH_HISTORY_TYPE_INCOMING_WITHDRAWAL,Incoming Withdrawal,
BATCH_HISTORY_TYPE_OUTGOING_WITHDRAWAL,Outgoing Withdrawal,
BATCH_HISTORY_TYPE_PHOTO_CREATED,Photo Created,
BATCH_HISTORY_TYPE_PHOTO_DELETED,Photo Deleted,
BATCH_HISTORY_TYPE_QUANTITY_EDITED,Quantity Edited,
BATCH_HISTORY_TYPE_STATUS_CHANGED,Status Changed,
BATCH_NUMBER,Batch Number,
BATCH_WITHDRAW_SUCCESS,{0} {1} for a total of {2} {3} withdrawn.,
BATCHES,Batches,
BATCHES_AT,Batches at {0},
BATCHES_COLUMN_TOOLTIP,Empty batches are not counted in this column.,
BATCHES_OF,Batches of {0},
BATCHES_PLURAL,batches,
BATCHES_SINGULAR,batch,
BEST_MONTHS_FOR_OBSERVATIONS,Best Months for Observations,
BEST_MONTHS_FOR_OBSERVATIONS_INSTRUCTIONS,These would be the seasons when it makes the most sense from the standpoint of your team’s capacity and also takes into account environmental factors such as the absence of snow and ability to easily identify planting survival. Please select all months that apply.,
BEST_MONTHS_FOR_OBSERVATIONS_VALIDATION_ERROR,Please select at least one month.,
BOOLEAN_FALSE,false,
BOOLEAN_TRUE,true,
BOUNDARIES,Boundaries,
BOUNDARIES_AND_ZONES,Boundaries and Zones,
BUDGET_DOCUMENT_XLS,Budget Document (.XLS),
BUDGET_NARRATIVE_SUMMARY,Budget Narrative Summary,
BUDGET_NARRATIVE_SUMMARY_INSTRUCTIONS,"Provide a high level narrative of your budget-to-actuals, noting any major discrepancies and listing any contributors. (One-half page maximum.)",
BUDGET_NARRATIVE_SUMMARY_REQUIRED,Budget Narrative Summary *,
BUG_REPORT,Bug Report,
BUG_REPORT_DESCRIPTION,Let us know about an issue you encountered while using Terraware.,
BUG_REPORT_INSTRUCTIONS,Provide a detailed description of the issue you encountered. (Where did the issue occur? What did you do before encountering the issue? What were you expecting to happen?),
BY,By,
BY_BATCH,By Batch,
BY_NURSERY,By Nursery,
BY_SPECIES,By Species,
CANCEL,Cancel,
CANCEL_DATA_CHECK,Cancel Data Check,
CANNOT_EDIT,Cannot Edit,
CANNOT_REMOVE,Cannot Remove,
CANNOT_REMOVE_MSG,You cannot remove yourself because there is no one else in the organization. Would you like to delete the organization instead?,
CANNOT_REMOVE_TF_CONTACT,Terraformation contacts cannot be removed from an organization.,
CAPTION,Caption,
CARBON,Carbon,
CARBON_CAPACITY_TC02_HA,Carbon Capacity (tCO2/ha),
CARBON_ELIGIBILITY,Carbon Eligibility,
CATALYTIC_CHECKBOX,Terraformation’s support has been catalytic in securing additional funding or partnerships for our work.,
CATALYTIC_DETAIL,Catalytic Funding,
CATALYTIC_DETAIL_INSTRUCTIONS,Please state whether Terraformation’s support has been catalytic in securing additional funding or partnerships for your work. Provide detail where possible. (One-quarter page maximum.),
CATEGORIES,Categories,
CATEGORY,Category,
CHALLENGES,Challenges and Setbacks,
CHALLENGES_INSTRUCTIONS,"Terraformation believes that the learnings from challenges and failures are often where the greatest growth happens, and sharing these challenges can have a positive global benefit. Please list any challenges or setbacks you experienced during the reporting period. What is the impact of these challenges, and what are the ways in which these setbacks can be overcome in the current project? What would you want to do differently in a future project? (One page maximum.)",
CHALLENGES_REQUIRED,Challenges and Setbacks *,
CHANGE,Change,
CHANGE_DEFAULT_WEIGHT_SYSTEM,You can change your default weight system from {0},
CHANGE_GERMINATING_STATUS,Change Germinating Status,
CHANGE_NOT_READY_STATUS,Change Not Ready Status,
CHANGE_TO,Change to {0},
CHANGES_SAVED,Changes Saved!,
CHECK_DATA,Check Data,
CHECK_DATA_DESCRIPTION,"You can run a database check to compare your species information with what’s stored in the GBIF Database. This will flag entries if the scientific name of your species is spelled wrong, or is missing from the database. This could take a few minutes, and you can’t cancel it once it starts.",
CHECK_DATE,Check Date,
CHECK_DATE_REQUIRED,Check Date *,
CHECK_IN,Check In,
CHECK_IN_ALL,Check In All,
CHECK_IN_ALL_CONFIRM,Are you sure you want to check in all accessions? This action cannot be undone.,
CHECK_IN_MESSAGE,{0} new accessions should have been dropped off at the seed bank. Please verify their arrival and check them in.,
CHECKED_IN,Checked In!,
CHECKIN_ACCESSIONS,Check In Accessions,
CHECKING_DATA,"Running database check. Please wait, this may take a few minutes...",
CHEMICAL,Chemical,
CHOOSE_FILE,Choose File...,
CITATION,Citation,
CITY,City,
CLIMATE_IMPACT,Climate Impact,
CLOSE,Close,
COHORT,Cohort,
COHORT_ADDED,{0} Cohort added,
COHORT_NAME,Cohort Name,
COHORT_PHASE_DUE_DILIGENCE,Phase 0 - Due Diligence,
COHORT_PHASE_FEASIBILITY_STUDY,Phase 1 - Feasibility Study,
COHORT_PHASE_IMPLEMENT_AND_MONITOR,Phase 3 - Implement and Monitor,
COHORT_PHASE_PLAN_AND_SCALE,Phase 2 - Plan and Scale,
COHORTS,Cohorts,
COHORTS_EMPTY_STATE,You have no cohorts yet. When you add cohorts you will see them here.,
COLLECTED_DATE,Collected Date,
COLLECTED_FROM,Collected from,
COLLECTING_SITE,Collecting Site,
COLLECTION_DATE,Collection Date,
COLLECTION_DATE_REQUIRED,Collection Date *,
COLLECTION_SITE,Collection Site Name,
COLLECTION_SOURCE,Plant Source Type,
COLLECTOR,Collector,
COLLECTORS,Collectors,
COMMENTS,Comments,
COMMON_NAME,Common Name,
