Key,Text,Hash
ABANDONED,Abandonné,59a598b0
ACCELERATOR,Accélérateur,05854ca8
ACCELERATOR_ADMIN,Administrateur de l’Accélérateur,b60aa07a
ACCELERATOR_CONSOLE,Console de l’Accélérateur,4d54c8c9
ACCELERATOR_ORGS_EMPTY_WARNING,Aucune organisation de l’Accélérateur n’a de projets non attribués à un participant. Vous pouvez tout de même créer un participant sans affectation de projet.,f58c59a4
ACCELERATOR_ORGS_EXHAUSTED_WARNING,Il ne reste plus d’organisations de l’Accélérateur avec des projets non attribués à un participant.,e88b983d
ACCELERATOR_ORGS_TOOLTIP,Organisations de l’Accélérateur avec des projets non attribués à un participant,476c5020
ACCELERATOR_WELCOME_ALT,Deux personnes entretiennent des semis dans une pépinière,21283bc3
ACCELERATOR_WELCOME_CONTENT,"Terraware sera votre source d’information pour le programme d’accélérateur Terraformation. Consultez votre liste de tâches ci-dessous pour voir les actions à examiner et à accomplir avant leur date limite. Pour voir toutes vos tâches de la phase en cours, cliquez sur Livrables dans le menu de gauche.",f5fb9d32
ACCELERATOR_WELCOME_HEADER,Bienvenue au programme Accélérateur !,f8e75345
ACCEPT,Accepter,1ae736cf
ACCEPTED,Accepté,2dee58ee
ACCESSION,Accession,6a1389cb
ACCESSION_BY_STATUS,Accession par statut,8d5df55b
ACCESSION_DETAIL,Détail de l’accession,dab2431a
ACCESSION_DETAILS,Détails de l'accession,1fa5df58
ACCESSION_HISTORY,Historique de l'accession,1e6eaa37
ACCESSION_ID,ID de l'accession,a87726c0
ACCESSION_NUMBER_CHECKED_IN,L'accession {0} a été enregistrée avec succès !,b78da03c
ACCESSIONS,Accessions,5f4f92e5
ACCESSIONS_CARD_DESCRIPTION,Collectez des semences puis enregistrez et consultez vos accessions. Les accessions de semences peuvent être consultées et analysées par banque de semences.,04e1a86a
ACCESSIONS_DATABASE_DESCRIPTION,Gérez vos accessions.,2d18fc42
ACCESSIONS_IMPORT_COMPLETE,Importation des données d'accessions terminée !,445187fe
ACCESSIONS_ONBOARDING_SEEDBANKS_MSG,Définissez les emplacements de stockage attribués aux accessions de semences,0a48e95f
ACCESSIONS_ONBOARDING_SPECIES_MSG,Définissez une liste d'espèces utilisées dans votre inventaire de semences,215ac54e
ACCESSIONS_TO_BE_CHECKED_IN,Il y a {0} accessions à enregistrer.,859447d7
ACCOUNT,Compte,ad5c7580
ACCUMULATION_RATE,Taux d'accumulation,2d9ec0ee
ACCUMULATION_RATE_UNITS,Taux d'accumulation (tCO2/ha/an),400d7f2a
ACHIEVED,Atteint,845a66be
ACHIEVEMENTS,Réalisations,e1e95bcf
ACTIVE_ACCESSIONS,Accessions actives,4d901ef3
ACTUAL,Réel,1235cf68
AD_HOC,Ad hoc,2acaf742
ADD,Ajouter,2ffae546
ADD_A_NURSERY,Ajouter une pépinière,758726df
ADD_A_PLANTING_SITE,Ajouter un site de plantation,edbe08ae
ADD_A_PLANTING_SITE_SUBTITLE,Où vos plantes prennent-elles racine ? Configurez votre site de plantation afin de suivre la progression de vos plantes.,d6cfff28
ADD_A_PROJECT,Ajouter un projet,8e2222bc
ADD_A_SEED_BANK,Ajouter une banque de semences,b5eceab7
ADD_A_SPECIES,Ajouter une espèce,aa4e7200
ADD_A_VIABILITY_TEST,Ajouter un test de viabilité,f70c39b0
ADD_ADDRESS,Ajouter une adresse,8262aa95
ADD_AN_ACCESSION,Ajouter une accession,e4b619b4
ADD_BATCH,Ajouter un lot,0d9f7a4a
ADD_BOUNDARY,Ajouter une limite,1ed146ae
ADD_COHORT,Ajouter une cohorte,094d5510
ADD_DOCUMENT,Ajouter un document,af87beed
ADD_FUNDING_ENTITY,Ajouter un organisme de financement,47c0142d
ADD_GPS_COORDINATES,Ajouter des coordonnées GPS,d87d2fa2
ADD_INVENTORY,Ajouter un inventaire,73cde1f5
ADD_INVENTORY_DESCRIPTION,"Ajouter un inventaire provenant d'une nouvelle source. Pour ajouter un inventaire à partir d'une accession de semences existante, allez dans Accession et effectuez un retrait depuis une entrée d’accession.",8ccf6455
ADD_INVENTORY_MANUALLY_DESCRIPTION,"Saisissez les espèces, les quantités et d'autres informations pertinentes à l'aide de notre formulaire d'inventaire.",5ab2a2a5
ADD_MANUALLY,Ajouter manuellement,8870718f
ADD_METRIC,Ajouter un indicateur,6df9b941
ADD_MODULE,Ajouter un module,8c647c74
ADD_NEW_ORGANIZATION_FOOTNOTE,Vous pourrez modifier ces informations ultérieurement.,737f65d7
ADD_NOTES,Ajouter des notes,9f6db1fe
ADD_NURSERIES,Ajouter des pépinières,17d161c9
ADD_NURSERY,Ajouter une pépinière,86b2181c
ADD_NURSERY_SUBTITLE,Comment gérez-vous vos semis ? Configurez votre pépinière afin de suivre la croissance de vos semis.,f86bb16b
ADD_OBSERVATION,Ajouter une observation,5b4bac64
